,dateRep,day,month,year,cases,deaths,geoId,continentExp,countryterritoryCode,popData2018,countriesAndTerritories
62,08/02/2020,8,2,2020,0,0,AF,Asia,AFG,37172386.0,Afghanistan
63,07/02/2020,7,2,2020,0,0,AF,Asia,AFG,37172386.0,Afghanistan
64,06/02/2020,6,2,2020,0,0,AF,Asia,AFG,37172386.0,Afghanistan
65,05/02/2020,5,2,2020,0,0,AF,Asia,AFG,37172386.0,Afghanistan
66,04/02/2020,4,2,2020,0,0,AF,Asia,AFG,37172386.0,Afghanistan
67,03/02/2020,3,2,2020,0,0,AF,Asia,AFG,37172386.0,Afghanistan
68,02/02/2020,2,2,2020,0,0,AF,Asia,AFG,37172386.0,Afghanistan
69,01/02/2020,1,2,2020,0,0,AF,Asia,AFG,37172386.0,Afghanistan
70,31/01/2020,31,1,2020,0,0,AF,Asia,AFG,37172386.0,Afghanistan
71,30/01/2020,30,1,2020,0,0,AF,Asia,AFG,37172386.0,Afghanistan
72,29/01/2020,29,1,2020,0,0,AF,Asia,AFG,37172386.0,Afghanistan
73,28/01/2020,28,1,2020,0,0,AF,Asia,AFG,37172386.0,Afghanistan
74,27/01/2020,27,1,2020,0,0,AF,Asia,AFG,37172386.0,Afghanistan
75,26/01/2020,26,1,2020,0,0,AF,Asia,AFG,37172386.0,Afghanistan
76,25/01/2020,25,1,2020,0,0,AF,Asia,AFG,37172386.0,Afghanistan
77,24/01/2020,24,1,2020,0,0,AF,Asia,AFG,37172386.0,Afghanistan
78,23/01/2020,23,1,2020,0,0,AF,Asia,AFG,37172386.0,Afghanistan
79,22/01/2020,22,1,2020,0,0,AF,Asia,AFG,37172386.0,Afghanistan
80,21/01/2020,21,1,2020,0,0,AF,Asia,AFG,37172386.0,Afghanistan
81,20/01/2020,20,1,2020,0,0,AF,Asia,AFG,37172386.0,Afghanistan
82,19/01/2020,19,1,2020,0,0,AF,Asia,AFG,37172386.0,Afghanistan
83,18/01/2020,18,1,2020,0,0,AF,Asia,AFG,37172386.0,Afghanistan
84,17/01/2020,17,1,2020,0,0,AF,Asia,AFG,37172386.0,Afghanistan
85,16/01/2020,16,1,2020,0,0,AF,Asia,AFG,37172386.0,Afghanistan
86,15/01/2020,15,1,2020,0,0,AF,Asia,AFG,37172386.0,Afghanistan
87,14/01/2020,14,1,2020,0,0,AF,Asia,AFG,37172386.0,Afghanistan
88,13/01/2020,13,1,2020,0,0,AF,Asia,AFG,37172386.0,Afghanistan
