,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,continentExp
0,23/04/2020,23,4,2020,84,4,Afghanistan,AF,AFG,37172386.0,Asia
1,22/04/2020,22,4,2020,61,1,Afghanistan,AF,AFG,37172386.0,Asia
2,21/04/2020,21,4,2020,35,2,Afghanistan,AF,AFG,37172386.0,Asia
3,20/04/2020,20,4,2020,88,3,Afghanistan,AF,AFG,37172386.0,Asia
4,19/04/2020,19,4,2020,63,0,Afghanistan,AF,AFG,37172386.0,Asia
5,18/04/2020,18,4,2020,51,1,Afghanistan,AF,AFG,37172386.0,Asia
6,17/04/2020,17,4,2020,10,4,Afghanistan,AF,AFG,37172386.0,Asia
7,16/04/2020,16,4,2020,70,2,Afghanistan,AF,AFG,37172386.0,Asia
8,15/04/2020,15,4,2020,49,2,Afghanistan,AF,AFG,37172386.0,Asia
9,14/04/2020,14,4,2020,58,3,Afghanistan,AF,AFG,37172386.0,Asia
10,13/04/2020,13,4,2020,52,0,Afghanistan,AF,AFG,37172386.0,Asia
11,12/04/2020,12,4,2020,34,3,Afghanistan,AF,AFG,37172386.0,Asia
12,11/04/2020,11,4,2020,37,0,Afghanistan,AF,AFG,37172386.0,Asia
13,10/04/2020,10,4,2020,61,1,Afghanistan,AF,AFG,37172386.0,Asia
14,09/04/2020,9,4,2020,56,3,Afghanistan,AF,AFG,37172386.0,Asia
15,08/04/2020,8,4,2020,30,4,Afghanistan,AF,AFG,37172386.0,Asia
16,07/04/2020,7,4,2020,38,0,Afghanistan,AF,AFG,37172386.0,Asia
17,06/04/2020,6,4,2020,29,2,Afghanistan,AF,AFG,37172386.0,Asia
18,05/04/2020,5,4,2020,35,1,Afghanistan,AF,AFG,37172386.0,Asia
19,04/04/2020,4,4,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
20,03/04/2020,3,4,2020,43,0,Afghanistan,AF,AFG,37172386.0,Asia
21,02/04/2020,2,4,2020,26,0,Afghanistan,AF,AFG,37172386.0,Asia
22,01/04/2020,1,4,2020,25,0,Afghanistan,AF,AFG,37172386.0,Asia
23,31/03/2020,31,3,2020,27,0,Afghanistan,AF,AFG,37172386.0,Asia
24,30/03/2020,30,3,2020,8,1,Afghanistan,AF,AFG,37172386.0,Asia
25,29/03/2020,29,3,2020,15,1,Afghanistan,AF,AFG,37172386.0,Asia
26,28/03/2020,28,3,2020,16,1,Afghanistan,AF,AFG,37172386.0,Asia
