,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018
0,16/04/2020,16,4,2020,70,2,Afghanistan,AF,AFG,37172386.0
1,15/04/2020,15,4,2020,49,2,Afghanistan,AF,AFG,37172386.0
2,14/04/2020,14,4,2020,58,3,Afghanistan,AF,AFG,37172386.0
3,13/04/2020,13,4,2020,52,0,Afghanistan,AF,AFG,37172386.0
4,12/04/2020,12,4,2020,34,3,Afghanistan,AF,AFG,37172386.0
5,11/04/2020,11,4,2020,37,0,Afghanistan,AF,AFG,37172386.0
6,10/04/2020,10,4,2020,61,1,Afghanistan,AF,AFG,37172386.0
7,09/04/2020,9,4,2020,56,3,Afghanistan,AF,AFG,37172386.0
8,08/04/2020,8,4,2020,30,4,Afghanistan,AF,AFG,37172386.0
9,07/04/2020,7,4,2020,38,0,Afghanistan,AF,AFG,37172386.0
10,06/04/2020,6,4,2020,29,2,Afghanistan,AF,AFG,37172386.0
11,05/04/2020,5,4,2020,35,1,Afghanistan,AF,AFG,37172386.0
12,04/04/2020,4,4,2020,0,0,Afghanistan,AF,AFG,37172386.0
13,03/04/2020,3,4,2020,43,0,Afghanistan,AF,AFG,37172386.0
14,02/04/2020,2,4,2020,26,0,Afghanistan,AF,AFG,37172386.0
15,01/04/2020,1,4,2020,25,0,Afghanistan,AF,AFG,37172386.0
16,31/03/2020,31,3,2020,27,0,Afghanistan,AF,AFG,37172386.0
17,30/03/2020,30,3,2020,8,1,Afghanistan,AF,AFG,37172386.0
18,29/03/2020,29,3,2020,15,1,Afghanistan,AF,AFG,37172386.0
19,28/03/2020,28,3,2020,16,1,Afghanistan,AF,AFG,37172386.0
20,27/03/2020,27,3,2020,0,0,Afghanistan,AF,AFG,37172386.0
21,26/03/2020,26,3,2020,33,0,Afghanistan,AF,AFG,37172386.0
22,25/03/2020,25,3,2020,2,0,Afghanistan,AF,AFG,37172386.0
23,24/03/2020,24,3,2020,6,1,Afghanistan,AF,AFG,37172386.0
24,23/03/2020,23,3,2020,10,0,Afghanistan,AF,AFG,37172386.0
25,22/03/2020,22,3,2020,0,0,Afghanistan,AF,AFG,37172386.0
26,21/03/2020,21,3,2020,2,0,Afghanistan,AF,AFG,37172386.0
27,20/03/2020,20,3,2020,0,0,Afghanistan,AF,AFG,37172386.0
28,19/03/2020,19,3,2020,0,0,Afghanistan,AF,AFG,37172386.0
29,18/03/2020,18,3,2020,1,0,Afghanistan,AF,AFG,37172386.0
30,17/03/2020,17,3,2020,5,0,Afghanistan,AF,AFG,37172386.0
31,16/03/2020,16,3,2020,6,0,Afghanistan,AF,AFG,37172386.0
32,15/03/2020,15,3,2020,3,0,Afghanistan,AF,AFG,37172386.0
33,11/03/2020,11,3,2020,3,0,Afghanistan,AF,AFG,37172386.0
34,08/03/2020,8,3,2020,3,0,Afghanistan,AF,AFG,37172386.0
35,02/03/2020,2,3,2020,0,0,Afghanistan,AF,AFG,37172386.0
36,01/03/2020,1,3,2020,0,0,Afghanistan,AF,AFG,37172386.0
37,29/02/2020,29,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
38,28/02/2020,28,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
39,27/02/2020,27,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
40,26/02/2020,26,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
41,25/02/2020,25,2,2020,1,0,Afghanistan,AF,AFG,37172386.0
42,24/02/2020,24,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
43,23/02/2020,23,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
44,22/02/2020,22,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
45,21/02/2020,21,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
46,20/02/2020,20,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
47,19/02/2020,19,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
48,18/02/2020,18,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
49,17/02/2020,17,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
50,16/02/2020,16,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
51,15/02/2020,15,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
52,14/02/2020,14,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
53,13/02/2020,13,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
54,12/02/2020,12,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
55,11/02/2020,11,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
56,10/02/2020,10,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
57,09/02/2020,9,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
58,08/02/2020,8,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
59,07/02/2020,7,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
60,06/02/2020,6,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
61,05/02/2020,5,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
62,04/02/2020,4,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
63,03/02/2020,3,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
64,02/02/2020,2,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
65,01/02/2020,1,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
66,31/01/2020,31,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
67,30/01/2020,30,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
68,29/01/2020,29,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
69,28/01/2020,28,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
70,27/01/2020,27,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
71,26/01/2020,26,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
72,25/01/2020,25,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
73,24/01/2020,24,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
74,23/01/2020,23,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
75,22/01/2020,22,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
76,21/01/2020,21,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
77,20/01/2020,20,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
78,19/01/2020,19,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
79,18/01/2020,18,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
80,17/01/2020,17,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
81,16/01/2020,16,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
82,15/01/2020,15,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
83,14/01/2020,14,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
84,13/01/2020,13,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
85,12/01/2020,12,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
86,11/01/2020,11,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
87,10/01/2020,10,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
88,09/01/2020,9,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
89,08/01/2020,8,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
90,07/01/2020,7,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
91,06/01/2020,6,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
92,05/01/2020,5,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
93,04/01/2020,4,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
94,03/01/2020,3,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
95,02/01/2020,2,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
96,01/01/2020,1,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
97,31/12/2019,31,12,2019,0,0,Afghanistan,AF,AFG,37172386.0
98,16/04/2020,16,4,2020,19,1,Albania,AL,ALB,2866376.0
99,15/04/2020,15,4,2020,8,1,Albania,AL,ALB,2866376.0
100,14/04/2020,14,4,2020,21,0,Albania,AL,ALB,2866376.0
101,13/04/2020,13,4,2020,13,0,Albania,AL,ALB,2866376.0
102,12/04/2020,12,4,2020,17,0,Albania,AL,ALB,2866376.0
103,11/04/2020,11,4,2020,7,0,Albania,AL,ALB,2866376.0
104,10/04/2020,10,4,2020,9,1,Albania,AL,ALB,2866376.0
105,09/04/2020,9,4,2020,17,0,Albania,AL,ALB,2866376.0
