,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,continentExp
62,09/02/2020,9,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
63,08/02/2020,8,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
64,07/02/2020,7,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
65,06/02/2020,6,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
66,05/02/2020,5,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
67,04/02/2020,4,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
68,03/02/2020,3,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
69,02/02/2020,2,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
70,01/02/2020,1,2,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
71,31/01/2020,31,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
72,30/01/2020,30,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
73,29/01/2020,29,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
74,28/01/2020,28,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
75,27/01/2020,27,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
76,26/01/2020,26,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
77,25/01/2020,25,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
78,24/01/2020,24,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
79,23/01/2020,23,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
80,22/01/2020,22,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
81,21/01/2020,21,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
82,20/01/2020,20,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
83,19/01/2020,19,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
84,18/01/2020,18,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
85,17/01/2020,17,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
86,16/01/2020,16,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
87,15/01/2020,15,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
88,14/01/2020,14,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
89,13/01/2020,13,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
90,12/01/2020,12,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
91,11/01/2020,11,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
92,10/01/2020,10,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
93,09/01/2020,9,1,2020,0,0,Afghanistan,AF,AFG,37172386.0,Asia
