,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018
0,14/04/2020,14,4,2020,58,3,Afghanistan,AF,AFG,37172386.0
1,13/04/2020,13,4,2020,52,0,Afghanistan,AF,AFG,37172386.0
2,12/04/2020,12,4,2020,34,3,Afghanistan,AF,AFG,37172386.0
3,11/04/2020,11,4,2020,37,0,Afghanistan,AF,AFG,37172386.0
4,10/04/2020,10,4,2020,61,1,Afghanistan,AF,AFG,37172386.0
5,09/04/2020,9,4,2020,56,3,Afghanistan,AF,AFG,37172386.0
6,08/04/2020,8,4,2020,30,4,Afghanistan,AF,AFG,37172386.0
7,07/04/2020,7,4,2020,38,0,Afghanistan,AF,AFG,37172386.0
8,06/04/2020,6,4,2020,29,2,Afghanistan,AF,AFG,37172386.0
9,05/04/2020,5,4,2020,35,1,Afghanistan,AF,AFG,37172386.0
10,04/04/2020,4,4,2020,0,0,Afghanistan,AF,AFG,37172386.0
11,03/04/2020,3,4,2020,43,0,Afghanistan,AF,AFG,37172386.0
12,02/04/2020,2,4,2020,26,0,Afghanistan,AF,AFG,37172386.0
13,01/04/2020,1,4,2020,25,0,Afghanistan,AF,AFG,37172386.0
14,31/03/2020,31,3,2020,27,0,Afghanistan,AF,AFG,37172386.0
15,30/03/2020,30,3,2020,8,1,Afghanistan,AF,AFG,37172386.0
16,29/03/2020,29,3,2020,15,1,Afghanistan,AF,AFG,37172386.0
17,28/03/2020,28,3,2020,16,1,Afghanistan,AF,AFG,37172386.0
18,27/03/2020,27,3,2020,0,0,Afghanistan,AF,AFG,37172386.0
19,26/03/2020,26,3,2020,33,0,Afghanistan,AF,AFG,37172386.0
20,25/03/2020,25,3,2020,2,0,Afghanistan,AF,AFG,37172386.0
21,24/03/2020,24,3,2020,6,1,Afghanistan,AF,AFG,37172386.0
22,23/03/2020,23,3,2020,10,0,Afghanistan,AF,AFG,37172386.0
23,22/03/2020,22,3,2020,0,0,Afghanistan,AF,AFG,37172386.0
24,21/03/2020,21,3,2020,2,0,Afghanistan,AF,AFG,37172386.0
25,20/03/2020,20,3,2020,0,0,Afghanistan,AF,AFG,37172386.0
26,19/03/2020,19,3,2020,0,0,Afghanistan,AF,AFG,37172386.0
27,18/03/2020,18,3,2020,1,0,Afghanistan,AF,AFG,37172386.0
28,17/03/2020,17,3,2020,5,0,Afghanistan,AF,AFG,37172386.0
29,16/03/2020,16,3,2020,6,0,Afghanistan,AF,AFG,37172386.0
30,15/03/2020,15,3,2020,3,0,Afghanistan,AF,AFG,37172386.0
31,11/03/2020,11,3,2020,3,0,Afghanistan,AF,AFG,37172386.0
32,08/03/2020,8,3,2020,3,0,Afghanistan,AF,AFG,37172386.0
33,02/03/2020,2,3,2020,0,0,Afghanistan,AF,AFG,37172386.0
34,01/03/2020,1,3,2020,0,0,Afghanistan,AF,AFG,37172386.0
35,29/02/2020,29,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
36,28/02/2020,28,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
37,27/02/2020,27,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
38,26/02/2020,26,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
39,25/02/2020,25,2,2020,1,0,Afghanistan,AF,AFG,37172386.0
40,24/02/2020,24,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
41,23/02/2020,23,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
42,22/02/2020,22,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
43,21/02/2020,21,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
44,20/02/2020,20,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
45,19/02/2020,19,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
46,18/02/2020,18,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
47,17/02/2020,17,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
48,16/02/2020,16,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
49,15/02/2020,15,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
50,14/02/2020,14,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
51,13/02/2020,13,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
52,12/02/2020,12,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
53,11/02/2020,11,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
54,10/02/2020,10,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
55,09/02/2020,9,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
56,08/02/2020,8,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
57,07/02/2020,7,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
58,06/02/2020,6,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
59,05/02/2020,5,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
60,04/02/2020,4,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
61,03/02/2020,3,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
62,02/02/2020,2,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
63,01/02/2020,1,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
64,31/01/2020,31,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
65,30/01/2020,30,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
66,29/01/2020,29,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
67,28/01/2020,28,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
68,27/01/2020,27,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
69,26/01/2020,26,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
70,25/01/2020,25,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
71,24/01/2020,24,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
72,23/01/2020,23,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
73,22/01/2020,22,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
74,21/01/2020,21,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
75,20/01/2020,20,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
76,19/01/2020,19,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
77,18/01/2020,18,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
78,17/01/2020,17,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
79,16/01/2020,16,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
80,15/01/2020,15,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
81,14/01/2020,14,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
82,13/01/2020,13,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
83,12/01/2020,12,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
84,11/01/2020,11,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
85,10/01/2020,10,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
86,09/01/2020,9,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
87,08/01/2020,8,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
88,07/01/2020,7,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
89,06/01/2020,6,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
90,05/01/2020,5,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
91,04/01/2020,4,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
92,03/01/2020,3,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
93,02/01/2020,2,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
94,01/01/2020,1,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
95,31/12/2019,31,12,2019,0,0,Afghanistan,AF,AFG,37172386.0
96,14/04/2020,14,4,2020,21,0,Albania,AL,ALB,2866376.0
97,13/04/2020,13,4,2020,13,0,Albania,AL,ALB,2866376.0
98,12/04/2020,12,4,2020,17,0,Albania,AL,ALB,2866376.0
99,11/04/2020,11,4,2020,7,0,Albania,AL,ALB,2866376.0
100,10/04/2020,10,4,2020,9,1,Albania,AL,ALB,2866376.0
101,09/04/2020,9,4,2020,17,0,Albania,AL,ALB,2866376.0
102,08/04/2020,8,4,2020,6,0,Albania,AL,ALB,2866376.0
103,07/04/2020,7,4,2020,16,1,Albania,AL,ALB,2866376.0
104,06/04/2020,6,4,2020,28,2,Albania,AL,ALB,2866376.0
105,05/04/2020,5,4,2020,29,2,Albania,AL,ALB,2866376.0
106,04/04/2020,4,4,2020,27,1,Albania,AL,ALB,2866376.0
107,03/04/2020,3,4,2020,18,1,Albania,AL,ALB,2866376.0
108,02/04/2020,2,4,2020,16,0,Albania,AL,ALB,2866376.0
109,01/04/2020,1,4,2020,20,3,Albania,AL,ALB,2866376.0
110,31/03/2020,31,3,2020,11,2,Albania,AL,ALB,2866376.0
111,30/03/2020,30,3,2020,15,0,Albania,AL,ALB,2866376.0
112,29/03/2020,29,3,2020,11,1,Albania,AL,ALB,2866376.0
113,28/03/2020,28,3,2020,12,3,Albania,AL,ALB,2866376.0
114,27/03/2020,27,3,2020,28,1,Albania,AL,ALB,2866376.0
115,26/03/2020,26,3,2020,23,0,Albania,AL,ALB,2866376.0
116,25/03/2020,25,3,2020,23,1,Albania,AL,ALB,2866376.0
117,24/03/2020,24,3,2020,11,2,Albania,AL,ALB,2866376.0
118,23/03/2020,23,3,2020,13,0,Albania,AL,ALB,2866376.0
119,22/03/2020,22,3,2020,6,0,Albania,AL,ALB,2866376.0
120,21/03/2020,21,3,2020,0,0,Albania,AL,ALB,2866376.0
121,20/03/2020,20,3,2020,11,0,Albania,AL,ALB,2866376.0
122,19/03/2020,19,3,2020,4,1,Albania,AL,ALB,2866376.0
123,18/03/2020,18,3,2020,4,0,Albania,AL,ALB,2866376.0
124,17/03/2020,17,3,2020,9,0,Albania,AL,ALB,2866376.0
125,16/03/2020,16,3,2020,4,0,Albania,AL,ALB,2866376.0
126,15/03/2020,15,3,2020,5,0,Albania,AL,ALB,2866376.0
127,14/03/2020,14,3,2020,10,0,Albania,AL,ALB,2866376.0
128,13/03/2020,13,3,2020,12,0,Albania,AL,ALB,2866376.0
129,12/03/2020,12,3,2020,1,1,Albania,AL,ALB,2866376.0
130,11/03/2020,11,3,2020,4,0,Albania,AL,ALB,2866376.0
131,10/03/2020,10,3,2020,4,0,Albania,AL,ALB,2866376.0
132,09/03/2020,9,3,2020,2,0,Albania,AL,ALB,2866376.0
133,14/04/2020,14,4,2020,69,20,Algeria,DZ,DZA,42228429.0
134,13/04/2020,13,4,2020,89,18,Algeria,DZ,DZA,42228429.0
135,12/04/2020,12,4,2020,64,19,Algeria,DZ,DZA,42228429.0
136,11/04/2020,11,4,2020,95,21,Algeria,DZ,DZA,42228429.0
137,10/04/2020,10,4,2020,94,30,Algeria,DZ,DZA,42228429.0
138,09/04/2020,9,4,2020,104,11,Algeria,DZ,DZA,42228429.0
139,08/04/2020,8,4,2020,45,21,Algeria,DZ,DZA,42228429.0
140,07/04/2020,7,4,2020,103,21,Algeria,DZ,DZA,42228429.0
141,06/04/2020,6,4,2020,20,22,Algeria,DZ,DZA,42228429.0
142,05/04/2020,5,4,2020,314,47,Algeria,DZ,DZA,42228429.0
143,04/04/2020,4,4,2020,139,25,Algeria,DZ,DZA,42228429.0
144,03/04/2020,3,4,2020,0,0,Algeria,DZ,DZA,42228429.0
145,02/04/2020,2,4,2020,263,23,Algeria,DZ,DZA,42228429.0
146,01/04/2020,1,4,2020,73,4,Algeria,DZ,DZA,42228429.0
147,31/03/2020,31,3,2020,57,2,Algeria,DZ,DZA,42228429.0
148,30/03/2020,30,3,2020,45,3,Algeria,DZ,DZA,42228429.0
149,29/03/2020,29,3,2020,104,5,Algeria,DZ,DZA,42228429.0
150,28/03/2020,28,3,2020,0,0,Algeria,DZ,DZA,42228429.0
151,27/03/2020,27,3,2020,41,4,Algeria,DZ,DZA,42228429.0
152,26/03/2020,26,3,2020,33,0,Algeria,DZ,DZA,42228429.0
153,25/03/2020,25,3,2020,42,0,Algeria,DZ,DZA,42228429.0
154,24/03/2020,24,3,2020,87,2,Algeria,DZ,DZA,42228429.0
155,23/03/2020,23,3,2020,8,5,Algeria,DZ,DZA,42228429.0
156,22/03/2020,22,3,2020,0,0,Algeria,DZ,DZA,42228429.0
157,21/03/2020,21,3,2020,12,3,Algeria,DZ,DZA,42228429.0
158,20/03/2020,20,3,2020,9,1,Algeria,DZ,DZA,42228429.0
159,19/03/2020,19,3,2020,13,1,Algeria,DZ,DZA,42228429.0
160,18/03/2020,18,3,2020,0,1,Algeria,DZ,DZA,42228429.0
161,17/03/2020,17,3,2020,12,0,Algeria,DZ,DZA,42228429.0
162,16/03/2020,16,3,2020,11,2,Algeria,DZ,DZA,42228429.0
163,15/03/2020,15,3,2020,11,0,Algeria,DZ,DZA,42228429.0
164,14/03/2020,14,3,2020,2,1,Algeria,DZ,DZA,42228429.0
165,13/03/2020,13,3,2020,4,1,Algeria,DZ,DZA,42228429.0
166,12/03/2020,12,3,2020,0,0,Algeria,DZ,DZA,42228429.0
167,09/03/2020,9,3,2020,3,0,Algeria,DZ,DZA,42228429.0
168,06/03/2020,6,3,2020,5,0,Algeria,DZ,DZA,42228429.0
169,05/03/2020,5,3,2020,7,0,Algeria,DZ,DZA,42228429.0
170,04/03/2020,4,3,2020,2,0,Algeria,DZ,DZA,42228429.0
171,02/03/2020,2,3,2020,2,0,Algeria,DZ,DZA,42228429.0
172,01/03/2020,1,3,2020,0,0,Algeria,DZ,DZA,42228429.0
173,29/02/2020,29,2,2020,0,0,Algeria,DZ,DZA,42228429.0
